section,name,alias,type,default,units,dependencies
costDistribution,costDistribution.LowVoltageLineLength,di_ll_len,OTHER,,meters,demand.TargetHouseholdCount;demographics.MeanInterhouseholdDistance
costDistribution,costDistribution.LowVoltageLineInitialCost,di_ll_ini,SINGLE_STMT_SIMPLE,,dollars,costDistribution.LowVoltageLineCostPerMeter;costDistribution.LowVoltageLineLength
costDistribution,costDistribution.LowVoltageLineOperationsAndMaintenanceCostPerYear,di_ll_om,SINGLE_STMT_SIMPLE,,dollars per year,costDistribution.LowVoltageLineCostPerMeter;costDistribution.LowVoltageLineLength;costDistribution.LowVoltageLineOperationsAndMaintenanceCostPerYearAsFractionOfLineCost
costDistribution,costDistribution.LowVoltageLineReplacementCostPerYear,di_ll_rep,SINGLE_STMT_OTHER,,dollars per year,costDistribution.LowVoltageLineInitialCost;costDistribution.LowVoltageLineLifetime
costDistribution,costDistribution.LowVoltageLineRecurringCostPerYear,di_ll_rec,SINGLE_STMT_OTHER,,dollars per year,costDistribution.LowVoltageLineOperationsAndMaintenanceCostPerYear;costDistribution.LowVoltageLineReplacementCostPerYear
demand,demand.HealthFacilityCountCurvePoints,he_cc_pts,CURVE_POINTS,50 0.16; 500 1.6; 5000 5; 10000 20,population and facility count list,
demand,demand.HealthFacilityCountCurveType,he_cc_t,CURVE_TYPE,ZeroLogisticLinear,,
demand,demand.EducationFacilityCountCurvePoints,ed_cc_pts,CURVE_POINTS,50 0.1; 500 1; 5000 3; 10000 15,population and facility count list,
demand,demand.EducationFacilityCountCurveType,ed_cc_t,CURVE_TYPE,ZeroLogisticLinear,,
demand,demand.CommercialFacilityCountCurvePoints,co_cc_pts,CURVE_POINTS,50 0.12; 500 1.2; 5000 25; 10000 125,population and facility count list,
demand,demand.CommercialFacilityCountCurveType,co_cc_t,CURVE_TYPE,ZeroLogisticLinear,,
demand,demand.PublicLightingFacilityCountCurvePoints,li_cc_pts,CURVE_POINTS,50 0.1; 500 1; 5000 7; 10000 25,population and facility count list,
demand,demand.PublicLightingFacilityCountCurveType,li_cc_t,CURVE_TYPE,ZeroLogisticLinear,,
demand,demand.HealthFacilityCountCurve,he_cc,CURVE_FUN,,,demand.HealthFacilityCountCurvePoints;demand.HealthFacilityCountCurveType
demand,demand.ProjectedHealthFacilityCount,p_he,CURVE_INTERPOLATE,,health facility count,demand.HealthFacilityCountCurve;demographics.ProjectedPopulationCount
demand,demand.EducationFacilityCountCurve,ed_cc,CURVE_FUN,,,demand.EducationFacilityCountCurvePoints;demand.EducationFacilityCountCurveType
demand,demand.ProjectedEducationFacilityCount,p_ed,CURVE_INTERPOLATE,,education facility count,demand.EducationFacilityCountCurve;demographics.ProjectedPopulationCount
demand,demand.CommercialFacilityCountCurve,co_cc,CURVE_FUN,,,demand.CommercialFacilityCountCurvePoints;demand.CommercialFacilityCountCurveType
demand,demand.ProjectedCommercialFacilityCount,p_co,CURVE_INTERPOLATE,,commercial facility count,demand.CommercialFacilityCountCurve;demographics.ProjectedPopulationCount
demand,demand.PublicLightingFacilityCountCurve,li_cc,CURVE_FUN,,,demand.PublicLightingFacilityCountCurvePoints;demand.PublicLightingFacilityCountCurveType
demand,demand.ProjectedPublicLightingFacilityCount,p_li,CURVE_INTERPOLATE,,public lighting facility count,demand.PublicLightingFacilityCountCurve;demographics.ProjectedPopulationCount
demand,demand.TargetHouseholdPenetrationRate,tgt_ho_prt,LEAF_VAR,1,fraction,
demand,demand.HouseholdUnitDemandPerHouseholdPerYear,ho_dc_unit,LEAF_VAR,0,kilowatt-hours per year,
demand,demand.HouseholdDemandCurvePoints,ho_dc_pts,CURVE_POINTS,500 1; 1000 1.56; 5000 6.16; 10000 11.5,population and multiplier list,
demand,demand.HouseholdDemandCurveType,ho_dc_t,CURVE_TYPE,ZeroLogisticLinear,,
demand,demand.TargetHouseholdCount,ct_hh_t,SINGLE_STMT_OTHER,,households,demand.TargetHouseholdPenetrationRate;demographics.ProjectedHouseholdCount
demand,demand.HouseholdDemandCurve,ho_dc,CURVE_FUN,,,demand.HouseholdDemandCurvePoints;demand.HouseholdDemandCurveType
demand,demand.ProjectedHouseholdDemandPerYear,p_dem_ho,CURVE_INTERPOLATE,,kilowatt-hours per year,demand.HouseholdDemandCurve;demand.HouseholdUnitDemandPerHouseholdPerYear;demand.TargetHouseholdCount;demographics.ProjectedPopulationCount;finance.ElectricityDemandMultiplier
demand,demand.ProductiveUnitDemandPerHouseholdPerYear,pr_dc_unit,LEAF_VAR,0,kilowatt-hours per year,
demand,demand.ProductiveDemandCurvePoints,pr_dc_pts,CURVE_POINTS,500 1; 1000 3.06; 5000 3.57; 10000 5.10,population and multiplier list,
demand,demand.ProductiveDemandCurveType,pr_dc_t,CURVE_TYPE,ZeroLogisticLinear,,
demand,demand.ProductiveDemandCurve,pr_dc,CURVE_FUN,,,demand.ProductiveDemandCurvePoints;demand.ProductiveDemandCurveType
demand,demand.ProjectedProductiveDemandPerYear,p_dem_pr,CURVE_INTERPOLATE,,kilowatt-hours per year,demand.ProductiveDemandCurve;demand.ProductiveUnitDemandPerHouseholdPerYear;demand.TargetHouseholdCount;demographics.ProjectedPopulationCount;finance.ElectricityDemandMultiplier
demand,demand.HealthFacilityUnitDemandPerHealthFacilityPerYear,he_dc_unit,LEAF_VAR,0,kilowatt-hours per year,
demand,demand.EducationFacilityUnitDemandPerEducationFacilityPerYear,ed_dc_unit,LEAF_VAR,0,kilowatt-hours per year,
demand,demand.CommercialFacilityUnitDemandPerCommercialFacilityPerYear,co_dc_unit,LEAF_VAR,0,kilowatt-hours per year,
demand,demand.PublicLightingFacilityUnitDemandPerPublicLightingFacilityPerYear,li_dc_unit,LEAF_VAR,0,kilowatt-hours per year,
demand,demand.SocialInfrastructureDemandCurvePoints,so_dc_pts,CURVE_POINTS,500 1; 1000 1.5; 5000 2.25; 10000 3.375,population and multiplier list,
demand,demand.SocialInfrastructureDemandCurveType,so_dc_t,CURVE_TYPE,ZeroLogisticLinear,,
demand,demand.SocialInfrastructureDemandCurve,so_dc,CURVE_FUN,,,demand.SocialInfrastructureDemandCurvePoints;demand.SocialInfrastructureDemandCurveType
demand,demand.ProjectedHealthFacilityDemandPerYear,p_dem_he,CURVE_INTERPOLATE,,kilowatt-hours per year,demand.HealthFacilityUnitDemandPerHealthFacilityPerYear;demand.ProjectedHealthFacilityCount;demand.SocialInfrastructureDemandCurve;demographics.ProjectedPopulationCount;finance.ElectricityDemandMultiplier
demand,demand.ProjectedEducationFacilityDemandPerYear,p_dem_ed,CURVE_INTERPOLATE,,kilowatt-hours per year,demand.EducationFacilityUnitDemandPerEducationFacilityPerYear;demand.ProjectedEducationFacilityCount;demand.SocialInfrastructureDemandCurve;demographics.ProjectedPopulationCount;finance.ElectricityDemandMultiplier
