section,name,type,default,units,dependencies
demand,demand.ProjectedHealthFacilityDemandPerYear,CURVE_INTERPOLATE,,kilowatt-hours per year,demand.HealthFacilityUnitDemandPerHealthFacilityPerYear;demand.ProjectedHealthFacilityCount;demand.SocialInfrastructureDemandCurve;demographics.ProjectedPopulationCount;finance.ElectricityDemandMultiplier
demand,demand.ProjectedEducationFacilityDemandPerYear,CURVE_INTERPOLATE,,kilowatt-hours per year,demand.EducationFacilityUnitDemandPerEducationFacilityPerYear;demand.ProjectedEducationFacilityCount;demand.SocialInfrastructureDemandCurve;demographics.ProjectedPopulationCount;finance.ElectricityDemandMultiplier
demand,demand.ProjectedCommercialFacilityDemandPerYear,CURVE_INTERPOLATE,,kilowatt-hours per year,demand.CommercialFacilityUnitDemandPerCommercialFacilityPerYear;demand.ProjectedCommercialFacilityCount;demand.SocialInfrastructureDemandCurve;demographics.ProjectedPopulationCount;finance.ElectricityDemandMultiplier
demand,demand.ProjectedPublicLightingFacilityDemandPerYear,CURVE_INTERPOLATE,,kilowatt-hours per year,demand.ProjectedPublicLightingFacilityCount;demand.PublicLightingFacilityUnitDemandPerPublicLightingFacilityPerYear;demand.SocialInfrastructureDemandCurve;demographics.ProjectedPopulationCount;finance.ElectricityDemandMultiplier
demand,demand.ProjectedNodalDemandPerYear,SINGLE_STMT_OTHER,,kilowatt-hours per year,demand.ProjectedCommercialFacilityDemandPerYear;demand.ProjectedEducationFacilityDemandPerYear;demand.ProjectedHealthFacilityDemandPerYear;demand.ProjectedHouseholdDemandPerYear;demand.ProjectedProductiveDemandPerYear;demand.ProjectedPublicLightingFacilityDemandPerYear
demand,demand.ProjectedNodalDiscountedDemand,SINGLE_STMT_SIMPLE,,kilowatt-hours,demand.ProjectedNodalDemandPerYear;finance.DiscountedCashFlowFactor
demand,demand.RuralPeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours,LEAF_VAR,0.4,,
demand,demand.UrbanPeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours,LEAF_VAR,0.4,,
demand,demand.PeakElectricalHoursOfOperationPerYear,LEAF_VAR,1460,hours per year,
demand,demand.PeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours,SINGLE_STMT_OTHER,,,demand.RuralPeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours;demand.UrbanPeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours;demographics.IsRural
demand,demand.DemandToPeakDemandConversionFactor,SINGLE_STMT_OTHER,,,demand.PeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours;demand.PeakElectricalHoursOfOperationPerYear
demand,demand.ProjectedPeakProductiveDemand,SINGLE_STMT_SIMPLE,,kilowatts,demand.DemandToPeakDemandConversionFactor;demand.ProjectedProductiveDemandPerYear
demand,demand.ProjectedPeakCommercialFacilityDemand,SINGLE_STMT_SIMPLE,,kilowatts,demand.DemandToPeakDemandConversionFactor;demand.ProjectedCommercialFacilityDemandPerYear
demand,demand.ProjectedPeakNodalDemand,SINGLE_STMT_SIMPLE,,kilowatts,demand.DemandToPeakDemandConversionFactor;demand.ProjectedNodalDemandPerYear
costGrid,costGrid.DistributionLoss,LEAF_VAR,0.15,fraction,
costGrid,costGrid.GridElectricityCostPerKilowattHour,LEAF_VAR,0.17,dollars per kilowatt-hour,
costGrid,costGrid.GridTransformerAvailableSystemCapacities,LEAF_VAR,1000 900 800 700 600 500 400 300 200 100 90 80 70 60 50 40 30 20 15 5,kilowatts list,
costGrid,costGrid.GridTransformerCostPerGridSystemKilowatt,LEAF_VAR,1000,dollars per kilowatt,
costGrid,costGrid.GridTransformerLifetime,LEAF_VAR,10,years,
costGrid,costGrid.GridTransformerOperationsAndMaintenanceCostPerYearAsFractionOfTransformerCost,LEAF_VAR,0.03,,
costGrid,costGrid.GridInstallationCostPerConnection,LEAF_VAR,130,dollars per connection,
costGrid,costGrid.GridMediumVoltageLineCostPerMeter,LEAF_VAR,20,dollars per meter,
costGrid,costGrid.GridMediumVoltageLineLifetime,LEAF_VAR,30,years,
costGrid,costGrid.GridMediumVoltageLineOperationsAndMaintenanceCostPerYearAsFractionOfLineCost,LEAF_VAR,0.01,,
costGrid,costGrid.GridSocialInfrastructureCount,SINGLE_STMT_SIMPLE,,facility count,demand.ProjectedCommercialFacilityCount;demand.ProjectedEducationFacilityCount;demand.ProjectedHealthFacilityCount;demand.ProjectedPublicLightingFacilityCount
costGrid,costGrid.GridInternalConnectionCount,SINGLE_STMT_SIMPLE,,connection count,costGrid.GridSocialInfrastructureCount;demand.TargetHouseholdCount
costGrid,costGrid.GridTransformerDesiredSystemCapacity,SINGLE_STMT_OTHER,,kilowatts,costGrid.DistributionLoss;demand.ProjectedPeakNodalDemand
costGrid,costGrid.GridTransformerActualSystemCapacityCounts,SINGLE_STMT_OTHER,,capacity count list,costGrid.GridTransformerAvailableSystemCapacities;costGrid.GridTransformerDesiredSystemCapacity
costGrid,costGrid.GridTransformerActualSystemCapacity,SINGLE_STMT_OTHER,,kilowatts,costGrid.GridTransformerActualSystemCapacityCounts;costGrid.GridTransformerAvailableSystemCapacities
costGrid,costGrid.GridInstallationCost,SINGLE_STMT_SIMPLE,,dollars,costGrid.GridInstallationCostPerConnection;costGrid.GridInternalConnectionCount
costGrid,costGrid.LowVoltageLineEquipmentCost,SINGLE_STMT_SIMPLE,,dollars,costDistribution.LowVoltageLineEquipmentCostPerConnection;costGrid.GridInternalConnectionCount
costGrid,costGrid.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYear,SINGLE_STMT_SIMPLE,,dollars per year,costDistribution.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYearAsFractionOfEquipmentCost;costGrid.LowVoltageLineEquipmentCost
costGrid,costGrid.GridTransformerCost,SINGLE_STMT_SIMPLE,,dollars,costGrid.GridTransformerActualSystemCapacity;costGrid.GridTransformerCostPerGridSystemKilowatt
costGrid,costGrid.GridTransformerOperationsAndMaintenanceCostPerYear,SINGLE_STMT_SIMPLE,,dollars per year,costGrid.GridTransformerCost;costGrid.GridTransformerOperationsAndMaintenanceCostPerYearAsFractionOfTransformerCost
costGrid,costGrid.GridTransformerReplacementCostPerYear,SINGLE_STMT_OTHER,,dollars per year,costGrid.GridTransformerCost;costGrid.GridTransformerLifetime
costGrid,costGrid.GridElectricityCostPerYear,SINGLE_STMT_OTHER,,dollars per year,costGrid.DistributionLoss;costGrid.GridElectricityCostPerKilowattHour;demand.ProjectedNodalDemandPerYear
costGrid,costGrid.GridInternalSystemInitialCost,SINGLE_STMT_OTHER,,dollars,costDistribution.LowVoltageLineInitialCost;costGrid.GridInstallationCost;costGrid.GridTransformerCost;costGrid.LowVoltageLineEquipmentCost
costGrid,costGrid.GridInternalSystemRecurringCostPerYear,SINGLE_STMT_OTHER,,dollars per year,costDistribution.LowVoltageLineRecurringCostPerYear;costGrid.GridElectricityCostPerYear;costGrid.GridTransformerOperationsAndMaintenanceCostPerYear;costGrid.GridTransformerReplacementCostPerYear;costGrid.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYear
costGrid,costGrid.GridInternalSystemNodalDiscountedCost,OTHER,,dollars,costGrid.GridInternalSystemInitialCost;costGrid.GridInternalSystemRecurringCostPerYear;demand.ProjectedNodalDemandPerYear;finance.DiscountedCashFlowFactor
costGrid,costGrid.GridInternalSystemNodalLevelizedCost,OTHER,,dollars per kilowatt-hour,costGrid.GridInternalSystemNodalDiscountedCost;demand.ProjectedNodalDiscountedDemand
costGrid,costGrid.GridMediumVoltageLineOperationsAndMaintenanceCostPerMeterPerYear,SINGLE_STMT_SIMPLE,,dollars per meter per year,costGrid.GridMediumVoltageLineCostPerMeter;costGrid.GridMediumVoltageLineOperationsAndMaintenanceCostPerYearAsFractionOfLineCost
costGrid,costGrid.GridMediumVoltageLineReplacementCostPerMeterPerYear,SINGLE_STMT_OTHER,,dollars per meter per year,costGrid.GridMediumVoltageLineCostPerMeter;costGrid.GridMediumVoltageLineLifetime
costGrid,costGrid.GridExternalSystemInitialCostPerMeter,SINGLE_STMT_SIMPLE,,dollars per meter,costGrid.GridMediumVoltageLineCostPerMeter
costGrid,costGrid.GridExternalSystemRecurringCostPerMeterPerYear,SINGLE_STMT_SIMPLE,,dollars per meter per year,costGrid.GridMediumVoltageLineOperationsAndMaintenanceCostPerMeterPerYear;costGrid.GridMediumVoltageLineReplacementCostPerMeterPerYear
costGrid,costGrid.GridExternalSystemNodalDiscountedRecurringCostPerMeter,SINGLE_STMT_SIMPLE,,dollars per meter,costGrid.GridExternalSystemRecurringCostPerMeterPerYear;finance.DiscountedCashFlowFactor
costGrid,costGrid.GridExternalSystemNodalDiscountedCostPerMeter,SINGLE_STMT_SIMPLE,,dollars per meter,costGrid.GridExternalSystemInitialCostPerMeter;costGrid.GridExternalSystemNodalDiscountedRecurringCostPerMeter
costDistribution,costDistribution.LowVoltageLineCostPerMeter,LEAF_VAR,10,dollars per meter,
costDistribution,costDistribution.LowVoltageLineLifetime,LEAF_VAR,10,years,
costDistribution,costDistribution.LowVoltageLineOperationsAndMaintenanceCostPerYearAsFractionOfLineCost,LEAF_VAR,0.01,,
costDistribution,costDistribution.LowVoltageLineEquipmentCostPerConnection,LEAF_VAR,200,dollars per connection,
costDistribution,costDistribution.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYearAsFractionOfEquipmentCost,LEAF_VAR,0.01,,
costDistribution,costDistribution.LowVoltageLineLength,OTHER,,meters,demand.TargetHouseholdCount;demographics.MeanInterhouseholdDistance
costDistribution,costDistribution.LowVoltageLineInitialCost,SINGLE_STMT_SIMPLE,,dollars,costDistribution.LowVoltageLineCostPerMeter;costDistribution.LowVoltageLineLength
costDistribution,costDistribution.LowVoltageLineOperationsAndMaintenanceCostPerYear,SINGLE_STMT_SIMPLE,,dollars per year,costDistribution.LowVoltageLineCostPerMeter;costDistribution.LowVoltageLineLength;costDistribution.LowVoltageLineOperationsAndMaintenanceCostPerYearAsFractionOfLineCost
costDistribution,costDistribution.LowVoltageLineReplacementCostPerYear,SINGLE_STMT_OTHER,,dollars per year,costDistribution.LowVoltageLineInitialCost;costDistribution.LowVoltageLineLifetime
costDistribution,costDistribution.LowVoltageLineRecurringCostPerYear,SINGLE_STMT_OTHER,,dollars per year,costDistribution.LowVoltageLineOperationsAndMaintenanceCostPerYear;costDistribution.LowVoltageLineReplacementCostPerYear
